sexo,raça,idade,frequenta_escola,frequentou_escola,curso_frequentado,terminou_curso,V4001,V4002,V4003,V4004,condicao_domicilio,num_pessoas_domicilio,bolsa_familia,aux_governo,renda_per_capita,num_serie,evasao
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Alugado,4,Não,Não,3875.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,1075.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,3,Não,Não,1233.0,3,0.0
Homem,Branca,16,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,3,Não,Não,2100.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Alugado,3,Não,Não,899.0,3,0.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,2468.0,3,0.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,3,Não,Não,2460.0,3,0.0
Mulher,Branca,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,2,Não,Não,800.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Alugado,2,Não,Não,990.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,6,Não,Não,1347.0,3,0.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Alugado,2,Não,Não,4250.0,3,0.0
Mulher,Branca,17,Não,Sim,Regular do ensino médio ou do 2º grau,Não,Não,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,272.0,1,1.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,1020.0,3,0.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,625.0,3,0.0
Mulher,Preta,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,3,Não,Não,3333.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,176.0,3,0.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Cedido por familiar,6,Não,Não,513.0,3,0.0
Homem,Preta,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,1438.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Alugado,5,Não,Não,664.0,3,0.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,3,Não,Não,667.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,1050.0,3,0.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Cedido por familiar,1,Não,Não,1600.0,3,0.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Não,Não,Não,Não,Não,Alugado,2,Não,Não,650.0,2,1.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Alugado,2,Não,Não,1000.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Alugado,5,Não,Não,2522.0,3,0.0
Mulher,Branca,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Alugado,3,Não,Não,1183.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,475.0,3,0.0
Homem,Branca,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,1440.0,3,0.0
Homem,Branca,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,750.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Alugado,5,Não,Não,738.0,3,0.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Cedido por familiar,3,Não,Não,893.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Outra condição,3,Não,Não,833.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,1113.0,3,0.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Cedido por familiar,5,Não,Não,430.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,6,Não,Não,317.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Cedido por familiar,2,Não,Não,490.0,3,0.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,600.0,3,0.0
Mulher,Branca,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,3,Não,Não,2167.0,3,0.0
Homem,Branca,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,585.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Alugado,3,Não,Não,1460.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Alugado,5,Não,Não,317.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Alugado,3,Não,Não,293.0,3,0.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Não,Sim,Não,Não,Não,Próprio de algum morador - já pago,7,Não,Não,419.0,1,1.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,775.0,3,0.0
Mulher,Parda,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,540.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,2,Não,Não,248.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Alugado,3,Não,Não,977.0,3,0.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,240.0,3,0.0
Mulher,Parda,16,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Cedido por familiar,5,Não,Não,500.0,3,0.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,6,Não,Não,397.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Alugado,4,Não,Não,813.0,3,0.0
Mulher,Preta,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,197.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Cedido por familiar,4,Não,Não,800.0,3,0.0
Mulher,Parda,15,Não,Sim,Regular do ensino médio ou do 2º grau,Não,Sim,Não,Não,Não,Alugado,3,Não,Não,1067.0,1,1.0
Homem,Preta,16,Não,Sim,Regular do ensino médio ou do 2º grau,Não,Sim,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,380.0,1,1.0
Mulher,Preta,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,8,Não,Não,9.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,3,Não,Não,880.0,3,0.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,6,Não,Não,1167.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,3,Não,Não,670.0,3,0.0
Homem,Preta,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,7,Não,Não,629.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Não,Não,Não,Não,Não,Próprio de algum morador - já pago,3,Não,Não,300.0,2,1.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Cedido por familiar,5,Não,Não,107.0,3,0.0
Mulher,Preta,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,8,Não,Não,149.0,3,0.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,6,Não,Não,1480.0,3,0.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,676.0,3,0.0
Mulher,Preta,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,1020.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Alugado,8,Não,Não,330.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,1000.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Alugado,6,Não,Não,383.0,3,0.0
Homem,Branca,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Alugado,4,Não,Não,375.0,3,0.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,3,Não,Não,1100.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,1300.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,686.0,3,0.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,950.0,3,0.0
Homem,Parda,17,Não,Sim,Regular do ensino médio ou do 2º grau,Não,Não,Não,Sim,Não,Próprio de algum morador - já pago,2,Não,Não,800.0,2,1.0
Mulher,Parda,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - ainda pagando,3,Não,Não,700.0,3,0.0
Homem,Preta,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - ainda pagando,6,Não,Não,1243.0,3,0.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - ainda pagando,5,Não,Não,838.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Não,Não,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,352.0,1,1.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - ainda pagando,4,Não,Não,375.0,3,0.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Alugado,4,Não,Não,4050.0,3,0.0
Mulher,Preta,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Alugado,5,Não,Não,528.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Sim,Não,Próprio de algum morador - já pago,9,Não,Não,571.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,866.0,3,0.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,497.0,3,0.0
Homem,Parda,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,470.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,250.0,3,0.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,220.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,970.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,2,Não,Não,600.0,3,0.0
Homem,Preta,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,6,Não,Não,317.0,3,0.0
Mulher,Branca,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Alugado,2,Não,Não,750.0,3,0.0
Homem,Parda,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Cedido por familiar,5,Não,Não,390.0,3,0.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Não,Sim,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,376.0,1,1.0
Mulher,Branca,16,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,945.0,3,0.0
Homem,Parda,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,7,Não,Não,307.0,3,0.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,528.0,3,0.0
Mulher,Branca,17,Não,Sim,Regular do ensino médio ou do 2º grau,Não,Não,Não,Não,Não,Cedido de outra forma,5,Não,Não,516.0,1,1.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,1663.0,3,0.0
Homem,Parda,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Alugado,5,Não,Não,26.0,3,0.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,3250.0,3,0.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,650.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,6,Não,Não,1553.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Cedido por familiar,6,Não,Não,700.0,3,0.0
Mulher,Branca,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,628.0,3,0.0
Homem,Parda,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Alugado,3,Não,Não,0.0,3,0.0
Mulher,Parda,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,3,Não,Não,1617.0,3,0.0
Homem,Parda,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,1240.0,3,0.0
Mulher,Parda,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Alugado,3,Não,Não,267.0,3,0.0
Homem,Branca,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,2,Não,Não,1195.0,3,0.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Alugado,2,Não,Não,1375.0,3,0.0
Mulher,Parda,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,1225.0,3,0.0
Homem,Preta,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,550.0,3,0.0
Mulher,Branca,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,513.0,3,0.0
Homem,Parda,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,3,Não,Não,1167.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,3375.0,3,0.0
Homem,Preta,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Alugado,8,Não,Não,463.0,3,0.0
Mulher,Branca,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,416.0,3,0.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,6,Não,Não,500.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Alugado,4,Não,Não,675.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,222.0,3,0.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Cedido por familiar,4,Não,Não,325.0,3,0.0
Homem,Parda,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,756.0,3,0.0
Homem,Branca,17,Não,Sim,Regular do ensino médio ou do 2º grau,Não,Não,Não,Não,Não,Próprio de algum morador - já pago,4,Não,Não,400.0,2,1.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Cedido por familiar,5,Não,Não,592.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - ainda pagando,3,Não,Não,1200.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Alugado,6,Não,Não,663.0,3,0.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,1376.0,3,0.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Sim,Não,Próprio de algum morador - já pago,5,Não,Não,80.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,6,Não,Não,947.0,3,0.0
Homem,Parda,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,7,Não,Não,329.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - ainda pagando,3,Não,Não,2117.0,3,0.0
Mulher,Branca,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,6,Não,Não,1083.0,3,0.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,8,Não,Não,383.0,3,0.0
Homem,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Cedido por familiar,7,Não,Não,640.0,3,0.0
Homem,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,3,Não,Não,1300.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Alugado,2,Não,Não,600.0,3,0.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,3,Não,Não,767.0,3,0.0
Mulher,Branca,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,455.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Não,Sim,Não,Não,Não,Próprio de algum morador - já pago,2,Não,Não,13900.0,2,1.0
Mulher,Parda,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - ainda pagando,7,Não,Não,486.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Alugado,3,Não,Não,667.0,3,0.0
Mulher,Branca,18,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Sim,Não,Não,Não,Próprio de algum morador - já pago,7,Não,Não,423.0,3,0.0
Mulher,Branca,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,5,Não,Não,900.0,3,0.0
Homem,Parda,17,Não,Sim,Regular do ensino médio ou do 2º grau,Sim,Não,Não,Não,Não,Próprio de algum morador - já pago,6,Não,Não,300.0,3,0.0
